Title of reading,Source,,
Transportation—A major player in smart growth,ITE Journal,1,
The Transportation Equity Act for the 215` Century,ITE Journal,1,
Trip Generation: Fast Food for Thought,ITE Journal,1,
Upgrading Travel Demand Forecasting Capabilities,ITE Journal,1,
Trip Generation Models for Multiuse Highway Commercial Developments,ITE Journal,1,
Trip Generation: One Developer's Perspective,ITE Journal,1,
Estimating Highway Mobility Benefits,ITE Journal,1,
Impacts of Transit Facilities on Land Use,ITE Journal,1,
Neo‑Traditional Neighborhood Design and Its Implications for Traffic Engineering,ITE Journal,1,
Experience with Traffic Calming,ITE Journal,1,
Smart growth tools for transportation,ITE Journal ,1,
Stated Choice: A New Tool for Transportaiton Demand Forecasting,ITE Journal ,1,
Regional Planning and Intelligent Transportation Systems: Effects on Land Use and Society,ITEJournal,1,13
ITS and Sustainable Communities,ITS Quarterly,1,1
How Neighborhood Design Affects Travel,ITS Review,2,1
Choosing the wrong technology: Or how to spend billions and reduce transit use,Journal of Advanced Transportation,1,
Transport planning for urban area: a retrospective look and future prospects,Journal of Advanced Transportation,2,
Automated Transit and Land Use Intentions: Alternate Scenarios with PRT and Shuttle/Loop Technologies,Journal of Advanced Transportation,1,3
Predicting Change in Distribution of Employment and Population as a Result of Growth Decline of a Region:  Examples of Office-Space Growth,JOURNAL OF ARCHITECTURE AND PLANNING RESEARCH,1,1
Urban spatial structure,Journal of Economic Literature,2,
Infrastructure Investment: A Review Essay,Journal of Economic Literature ,1,3
LAND USE SCANNER: An integrated GIS based model for long term projections of land use in urban and rural areas,Journal of Geographical Systems,1,1
"Natural Hydrocarbons, Urbanization, and Urban Ozone",Journal of Geophysical Research,1,1
Teenage Employment and the Spatial Isolation of Minority and Poverty Households,Journal of Human Resources,1,1
"On Form versus Function: Will the New Urbanism Reduce Traffic, of Increase It?",Journal of Planning Education and Research,1,
"Recent advances in urban transportation planning methods, models, and research techniques",Journal of Planning Education and Research,3,
An Evaluation of Neotraditional Design's Social Prescription: Postmodern Placebo or Remedy for Suburban Malaise?,Journal of Planning Education and Research,2,
"When finance leads planning: urban planning, highway planning, and metropolitan freeways in California",Journal of Planning Education and Research,1,
The High Cost of Free Parking,Journal of Planning Education and Research,1,
In Lieu of Required Parking,Journal of Planning Education and Research,1,
Congestion relief: the land use alternative,Journal of Planning Education and Research,1,
Suburban Employment Centers: The Influence of Site Features on the Journey to Work,Journal of Planning Education and Research,1,
The Overlaying Map Technique:  Problems and Suggested Solutions,Journal of Planning Education and Research,1,12
The land-use impacts of urban rail transit systems,Journal of Planning Literature,2,
The Influence of Urban Form on Travel: An Interpretive Review,Journal of Planning Literature,2,
Policy Implications of Recent Behavioral Research in Transportation Demand Management,Journal of Planning Literature,1,
The Transportation-land use link,Journal of Planning Literature,1,
Highways and Economic Productivity: Interpreting Recent Evidence,Journal of Planning Literature,1,7
Wasteful Commuting,Journal of Political Econom,1,
A Pure Theory of Local Expenditures,Journal of Political Economy,1,
Urban commuting Journeys are Not 'Wasteful'.,Journal of Political Economy,1,
Wasteful commuting Again,Journal of Political Economy,1,
Land Values and the Measurement of Highway Benefits,Journal of Political Economy,1,5
The Value of Automobile Travel Time: Implications fro Congestion Policy,Journal of Public Economics,1,1
Transit Stations and Commercial Property Values: A Case Study with Policy and Land‑Use Implications,Journal of Public Transportation,1,
Walk-and-Ride: Factors Influencing Pedestrian Access to Transit,Journal of Public Transportation,1,
California's Transit Village Movement,Journal of Public Transportation,1,3
Railroad development and land value,Journal of Real Estate Finance and Economics,1,1
Congestion tolling and urban spatial structure,Journal of Regional Science,1,
Do suburbs need cities?,Journal of Regional Science,1,
A Note on Inter-areal Linear Programming for a Metropolitan Region,JOURNAL OF REGIONAL SCIENCE,1,
A Model for the Distribution of Residential Activity in Urban Areas,JOURNAL OF REGIONAL SCIENCE,1,
Optimal Urban Forms,JOURNAL OF REGIONAL SCIENCE,1,5
Requiem for Large-Scale Models,Journal of the American Planning Association,1,
Radburn and the American Planning Movement: The Persistence of an Idea,Journal of the American Planning Association,1,
Gasoline Consumption and Cities: A Comparison of U.S. Cities with a Global Survey.,Journal of the American Planning Association,2,
Air Quality and Travel Behavior: Untying the Knot,Journal of the American Planning Association,1,
Jobs-housing balancing and regional mobility,Journal of the American Planning Association,2,
Automobile subsidies and land use: Estimates and policy responses,Journal of the American Planning Association,1,
Automobile subsidies and land use: Estimates and policy responses,Journal of the American Planning Association,0,
Are Compact Cities a Desirable Planning Goal?,Journal of the American Planning Association,3,
Is Los Angeles-Style Sprawl Desirable?,Journal of the American Planning Association,3,
A Broader Context for Transportation Planning: Not Just An End In Itself,Journal of the American Planning Association,1,
Where's the Sprawl?,Journal of the American Planning Association,1,
Light rail transit and urban development,Journal of the American Planning Association,2,
Cars and drivers in the new suburbs: linking access to travel in neotraditional planning,Journal of the American Planning Association,2,
Walkable suburbs? An evaluation of neotraditional communities at the urban edge,Journal of the American Planning Association,1,
Jobs-Housing Balance Revisited: Trends and Impacts in the San Francisco Bay Area,Journal of the American Planning Association,5,
Rethinking accessibility and jobs-housing balance,Journal of the American Planning Association,2,
The Difficult Character of Property: To Whom Do Things Belong,Journal of the American Planning Association,1,
The Rational Locator: Why Travel Times Have Remained Stable,Journal of the American Planning Association,1,
"Activity, Travel, and the Allocation of Time",Journal of the American Planning Association,2,
Local Land Use and the Chain of Exclusion,Journal of the American Planning Association,1,
State Growth Management: Intergovernmental Frameworks and Policy Objectives,Journal of the American Planning Association,1,
Do Growth Controls Work? A New Assessment,Journal of the American Planning Association,1,
Rail Transit and Joint Development: Land Market Impacts in Washington D.C. and Atlanta,Journal of the American Planning Association,3,
"Transportation demand management: planning, development, and implementation",Journal of the American Planning Association,1,
Planning for telecommuting: measurement and policy,Journal of the American Planning Association,1,
Imagining Land Use Futures: Applying the California Urban Futures Model,Journal of the American Planning Association,2,
Operational Urban Models: State-of-the-Art,Journal of the American Planning Association,2,
Walkable Suburbs? An Evaluation of Neotraditional Communities at the Urban Edge,Journal of the American Planning Association,2,
A Sketch of the Planning-Guiding Process For Columbia Maryland,Journal of the American Planning Association,1,
A desire named streetcar: Fantasy and fact in rail transit planning,Journal of the American Planning Association,1,
A broader context for transportation planning: not just an end in itself,Journal of the American Planning Association,1,
Are compact cities a dersirable plannin goal?,Journal of the American Planning Association,2,
"Autos, Transit and the Sprawl of Los Angeles",Journal of the American Planning Association,1,
L.A. Story: A Reality Check for Transit‑Based Housing,Journal of the American Planning Association,1,
Jobs-Housing Balance and Regional Mobility,Journal of the American Planning Association,1,
Downtown Population Growth and Comminuting Trips: Recent Experiences in Toronto,Journal of the American Planning Association,1,
Toward an Urban Design Manifesto,Journal of the American Planning Association,1,
Environmental Justice in Transportation Planning,Journal of the American Planning Association,1,
Urban Form and Thermal Efficiency: How the Design of Cities Influences the Urban Heat Island Effect,Journal of the American Planning Association,1,
The Connection between Public Transit and Employment:  The Cases of Portland and Atlanta,Journal of the American Planning Association,1,
A Global View of Automobile Dependence,Journal of the American Planning Association,1,
Is There a Role for Physical Planners?,Journal of the American Planning Association,1,
Employment Decentralization and Accessibility: A Strategy for Stimulating Regional Mobility,Journal of the American Planning Association,1,
Can Transportation Strategies Help Meet the Welfare Challenge? ,Journal of the American Planning Association,1,
The Commuting Paradox: Evidence from the Top Twenty,Journal of the American Planning Association,1,
Large Scale Urban Models:  Twenty Years Later,Journal of the American Planning Association,1,
Commuting in Transit Versus Automobile Neighborhoods,Journal of the American Planning Association,2,
Methods for Generating Land Suitability Maps:  A Comparative Evaluation,Journal of the American Planning Association,1,
The Lowry Model Heritage,Journal of the American Planning Association,1,
A Matrix Formulation of the Lowry Model for Intrametropolitan Activity Allocation,Journal of the American Planning Association,1,
How Accessibility Shapes Land Use,Journal of the American Planning Association,1,
Effects of Public Investments on Urban Land Values,Journal of the American Planning Association,1,72
Land‑Use/Transportation Interaction Models,Journal of Transport Economics and Policy,1,
The Impact of a Light Rail System on the Structure of House Prices,Journal of Transport Economics and Policy,1,2
Accessibility and the Journey to Work,Journal of Transport Geography,1,
Transport Planning and the Human Activity Approach,Journal of Transport Geography,1,2
Road Capacity and the Allocation of Time,Journal of Transportation and Statistics,1,
Journal of Transportation and Statistics (the same as in the syllabus),Journal of Transportation and Statistics,1,
"Office Development, Parking, and Travel Behavior: Midtown Atlanta",Journal of Transportation and Statistics,1,3
Impact of Commuter‑Rail Services in Toronto Region,Journal of Transportation Eningeering,1,1
Time to work: Job search strategies and commute time for women on welfare in San Francisco,Journal of Urban Affairs,1,1
The influence of uncertain job location on urban form and the journal to work,Journal of Urban Economics,1,
Site density restrictions: Measurement and empirical analysis,Journal of Urban Economics,1,
The Influence of Metropolitan Spatial Structure on Commuting Time,Journal of Urban Economics,1,
The Effect of a Subway on Residential Property Values in Toronto,Journal of Urban Economics,1,4
Hardwiring corrdination among land-use and transportation agencies,Journal of Urban Planning and Development,1,
’Hardwiring’ Coordination among Land-Use and Transportation Agencies,Journal of Urban Planning and Development,1,
Hardwiring Coordination Among Land‑Use and Transportation Agencies,Journal of Urban Planning and Development,1,3
Traffic Impact Studies,Land Development,1,1
The Effects of Land Use Constraints on Housing Prices,Land Economics,1,
Adverse Impacts of the Washington Beltway on Residential Property Values,Land Economics,1,2
The land use-transport connection,Land Use Policy,1,
Reorienting metropolitan land use and transportation policies in the USA,Land Use Policy,2,
"Innovative land use and public transport policy: The case of Curitiba, Brazil",Land Use Policy,1,3
Effects of Urban Density on Rail Transit,Landlines (Handout).,1,1
Infrastructure Services and the Productivity of Public Capital: The Case of Streets and Highways,National Tax Journal,1,1
Making Streets That Work,Places,1,1
Hell on wheels,Planning,1,
"There Is a Hybrid in Your Future – Tomorrow’s Development Will Look Like Today’s, Only More So",Planning,1,
From Highway to My Way,Planning,1,3
The Limits to Growth Management. Environment and Planning ,Planning and Design,1,1
Land Use and Urban Development,Politics and Policy Innovation,1,1
"Race, gender, and spatial segmentation in the Twin Cities",Professional Geographer ,1,1
Building Roads in Sync with Community Values,Public Roads,1,1
"ousing Segregation, Negro Employment, and Metropolitan Decentralization",Quarterly Journal of Economics,1,1
Land use regulation and new construction,Regional Science and Urban Economics,1,1
The Indirect Effects of Highway Investment,Regional Studies,1,
A Concept of Accessibility: A Search for an Optimal Form,Regional Studies ,1,2
Urban Development and Transport  Patterns in Developed Counties in an Era of Expensive Energy,Research in Urban Economics,1,1
Why Go Anywhere?,Scientific American,3,3
Physical Accessibility as a Social Indicator.,Socio-Economic Planning Science,1,
A Procedure for Fully Evaluating the Anticipated Impacts of Selected Public System Innovations on Various Environments Using Citizen-Generated Information Inputs,Socio-Economic Planning Science,1,2
From Garden Cities of Tomorrow,The City Reader,1,
From The City of To-morrow and Its Planning,The City Reader,1,2
,The Urban Lawyer,1,
Impacts of Urban Form on Travel Behavio,The Urban Lawyer,1,
Transit Villages and Transit‑Based Development: The Rules Are Becoming More Flexible ‑‑ How Government Can Work with the Private Sector to Make It Happen,The Urban Lawyer,1,3
Induced travel: a review of recent liturature and the implications for transportation and environment policy,Tranportation Research D,1,1
Twenty-One Sources of Error and Bias in Transport Project Appraisal,Transport Policy,1,
Evaluating the Effects of Cashing Out Employer-Paid Parking: Eight Case Studies,Transport Policy,1,
Travel Choices in Pedestrian Versus Automobile Oriented Neighborhoods,Transport Policy,1,
Transit‑Based Housing in California: Evidence on Ridership Impacts,Transport Policy,1,
Land use and transportation: Envisioning regional sustainability,Transport Policy,1,
"Ten Myths about US Urban Rail Systems by Thomas Rubin, James Moore, and Shin Lee – A Rejoinder",Transport Policy,1,
A Critical Review of Current Illusions in Traffic Management and Control,Transport Policy ,1,
Ten Myths about US Urban Rail Systems,Transport Policy ,1,8
A Whole-System Approach to Evaluating Urban Transit Investments,Transport Reviews,1,
Innovations in Urban Transport and the Influence of Urban Form: An Historical Review,Transport Reviews,1,2
Evidence of Land Use Impacts of Rapid Transit Systems,Transportation,1,
"Learning from Los Angles: Transport, Urban Form, and Air Quality",Transportation,2,
"Space, Money, Life-cycle, and the Allocation of Time",Transportation,1,
Regulating Traffic by Controlling Land Use: The Southern California experience,Transportation,1,
Empirical Evidence on Induced Demand,Transportation,1,
Performance Indicators for Transit Management,Transportation,1,
A Micro-Analysis of Land Use and Travel in Five Neighborhoods in the San Francisco Bay Area,Transportation,1,
"Learning from Los Angeles: Transport, Urba Form, and Air Quality",Transportation,1,
A GIS-based planning approach to locating urban rail terminals,Transportation,1,
Community-Based Street Design Standards,Transportation,1,11
Land uses and travel at suburban activity centers,Transportation Quarterly,1,
"Cities, Transportation and Change",Transportation Quarterly,1,
Induced Highway Travel: Transportation Policy Implications for Congested Metropolitan Areas,Transportation Quarterly,1,
Measuring Transportation Performance,Transportation Quarterly,1,
Land Use and Rail Transit,Transportation Quarterly,1,
"Beyond Density, Mode Choice, and Single‑Purpose Trips",Transportation Quarterly,1,
Impacts of Traffic Calming,Transportation Quarterly,2,
The Political Economy of Highway Tolls and Congestion Pricing,Transportation Quarterly,1,
Land Use/Transportation Planning: New Possibilities for Developing and Developed Countries,Transportation Quarterly,1,10
The Use of Spatial Separation in the Measurement of Transportation Accessibility,Transportation Research A,1,
The Possibility and Potential of Public Policy on Accessibility,Transportation Research A,1,
Structure of Linkages Between Transport and Land Use,Transportation Research A,1,
Twenty Years of the Bay Area Rapid Transit System: Land Use and Development Impacts,Transportation Research A,1,
"Accessibility of Neotraditional Neighborhoods: A Review of Design Concepts, Policies, and Recent Literature",Transportation Research A,2,
Mixed Land Uses and Commuting: Evidence from the American Housing Survey,Transportation Research A,1,
Mixed land uses and commuting: evidence from the American housing survery,Transportation Research A,1,
A typology of relationships between telecommunications and transportation,Transportation Research A,1,
Comprehensive Regional Modeling for Long-Range Planning Linking Integrated Urban Modes and Geographic Information System,Transportation Research A,2,
The influence of land use on travel behaviour: Specification and estimation strategies,Transportation Research A,1,
Overcoming Public Aversion to Congestion Pricing,Transportation Research A,1,
Patterns of Automobile Dependence in Cities:  An International Overview of Key Physical and Economic Dimensions with Some Implications for Policy,Transportation Research A,1,
Demand Management as an Element of Transportation Policy:  Using Carrots and Sticks to Influence Travel Behavior,Transportation Research A,1,
Mixed Land-Uses and Commuting: Evidence from the American Housing Survey,Transportation Research A,1,
Linked Simulation of Land Use and Transportation Systems: Developments and Experience in the Puget Sound Region,Transportation Research A,1,
The Trouble with Minimum Parking Requirements,Transportation Research A,1,
High occupancy vehicle lanes: not always more effective than general purpose,Transportation Research A,1,19
Highway Capacity Expansion and Induced Travel: Evidence and Implications,Transportation Research Circular,1,
International Transit Turnkey and Joint Development,Transportation Research Circular,1,2
"Transportation-Land-Use Interaction:  Empirical Findings in North America, and their Implications for Modeling",Transportation Research D,2,
Does Neighborhood Design Influence Travel?: A Behavioral Analysis of Travel Diary and GIS Data,Transportation Research D,1,
Linking Land Use with Household Vehicle Emissions in the Central Puget Sound: Methodological Framework and Findings,Transportation Research D,2,
"Travel Demand and the 313s: Density, Diversity, and Design",Transportation Research D,1,
What happens when mobility-inclined market segments face accessibility-enhancing policies,Transportation Research D,2,
"Travel Demand and the 3Ds: density, diversity, and design",Transportation Research D,1,
Linking Land Use with Household Vehicle Emissions in the Central Puget Sound: Methodological Framework and Findings,Transportation Research D,1,10
Transportation Infrastructure and Economic Development: A Review of Recent,Transportation Research E: Logistics and Transportation Review,1,1
Policy Analysis Using the Sacramento MEPLAN Land use­ Transportation Interaction Model,Transportation Research Record,1,
Seven Models of Transportation‑Land Use,Transportation Research Record,1,
Light-Rail Transit Stations and Property Values: A Hedonic Price Approach,Transportation Research Record,1,
Effects of transportation infrastructure and location on residential land values: Application of spatial-autoregressive techniques,Transportation Research Record,1,
Land use and transportation planning in response to congestion problems: A review and critique,Transportation Research Record,3,
Light-rail-transit impacts in portland,Transportation Research Record,2,
Implementing Intermodal Surface Transportation Efficiency Act of 1991: Issues and Early Field Dat,Transportation Research Record,1,
Least‑Cost Planning: A Tool for Metropolitan Transportation Decision Making,Transportation Research Record,1,
Influence of MARTA on Population and Employment Location,Transportation Research Record,1,
Impacts of Commuter Rail Service as Reflected in Single‑Family Residential Property Values,Transportation Research Record,2,
Assessment of Influence of Land Use‑Transportation System on Travel Behavior,Transportation Research Record,1,
Effects of Neotraditional Neighborhood Design on Travel Characteristics,Transportation Research Record,2,
"Getting Around a Traditional City, a Suburban PUD, and Everything In‑Between",Transportation Research Record,1,
"The Impacts of Mixed Use and Density on the Utilization of Three Modes of Travel: The Single Occupant Vehicle, Transit, and Walking",Transportation Research Record,2,
Traffic Calming in New Developments,Transportation Research Record,1,
Transit Joint Development in San Diego,Transportation Research Record,1,
Understanding Differences in Public Transit: Comparison of Boston and Toronto,Transportation Research Record,1,
Is Jobs-Housing Balance a Transportation Issue?,Transportation Research Record,3,
Land use transportation models for policy analysis,Transportation Research Record,1,
Land Use Zoning as Transportation Regulation,Transportation Research Record,1,
Effect of Neo- Traditional Neighborhood Design on Travel Characteristics,Transportation Research Record,1,
Site Design and Pedestrian Travel,Transportation Research Record,1,
Land Use Impacts on Trip Generation Rates,Transportation Research Record,1,
Land Use Transportation Models for Policy Analysis,Transportation Research Record,1,
Economic Impacts of Transit on Cities,Transportation Research Record,1,
Commercial Development at Rural and Small‑Town Interstate Exists,Transportation Research Record ,1,
Residential Density and Travel Patterns: Review of the Literature,Transportation Research Record ,2,
Travel and the Built Environment ‑ Synthesis,Transportation Research Record ,2,
Freeway Expansion and Land Development: An Empirical Analysis of Transportation Corridors,Transportation Research Record ,1,
Land Use Impacts of the Houston Transitway System,Transportation Research Record ,1,
Transito-focused development and light rail systems: the lite connection,Transportation Research Record ,3,
Regional vs. Local Accessibility: Implications for Non-work Travel,Transportation Research Record ,2,
Transportation Service Standards: As If People Matter,Transportation Research Record ,1,
Changes in Regional Travel Characteristics and Travel Time Expenditures in San Francisco Bay Area: 1960‑1990,Transportation Research Record ,1,
Land Use Impacts on Trip Generation Rates,Transportation Research Record ,1,
Performance Measures for Multimodal Transportation Systems,Transportation Research Record ,1,
Exploring Paradigm Shifts Needed to Reconcile Transportation and sustainability Objectives,Transportation Research Record ,1,
Adjusting Computer Modeling Tools to Capture Effects of Smart Growth,Transportation Research Record ,1,
"Integrated Transportation and Land Use Policy Analysis for Sacramento, California",Transportation Research Record ,1,52
Paradigm Shift: From Automobility to Accessibility Planning,Urban Futures,1,1
Implications of Intelligent Transportation Systems for Metropolitan Form,Urban Geography,1,
Implications of Intelligent Transportation Systems for Metropolitan Form,Urban Geography,1,3
"Neotraditional Town Planning: Cars, Pedestrains, and Transit",Urban Land,2,
Transportation 2025,Urban Land,1,
Smart Communities,Urban Land,1,
Tough Choices: Regional Governance for San Francisco,Urban Land,1,
Commuting in Context,Urban Land,1,
Transit Trends,Urban Land,1,
Transit Sparks Redevelopment in St. Louis and Chicago,Urban Land,1,
On Route,Urban Land,1,
Promoting Transit‑Oriented Development,Urban Land,1,
Metro Makes Its Mark,Urban Land,1,
Transit,Urban Land,1,
Joint Development at Ballston Metro,Urban Land,1,
Transit Oriented Development: Making a Difference?,Urban Land,1,
Visiting Sprawl,Urban Land ,1,
A 50-Year Plan for Metropolitan Portland,Urban Land ,1,16
Can Land-Use Policy Really Affect Travel?,Urban Studies,3,
"Spatial mismatch or automobile mismatch? An examination of race, residence, and communting in U. S. metropilitan areas",Urban Studies,1,
Is the Journey to Work Explained by Urban Structure?,Urban Studies,1,
"Information Technology, Work Patterns and Intra‑metropolitan Location: A Case Study",Urban Studies,1,
Subcentring and Commuting: Evidence from the San Francisco Bay Area,Urban Studies,1,
The Changing Commute: A Case Study of the Jobs/Housing Relationship over Time,Urban Studies,1,
The compact city: Just or just compact? A preliminary analysis,Urban Studies,1,
Understanding urban development processes: Integrating the economic and social in property research,Urban Studies,1,
The polycentric urban region: Towards a research agenda,Urban Studies,1,
"Workplace Location, Residential Location, and Urban Commuting",Urban Studies,1,
Is Journey to Work Explained by Urban Structure?,Urban Studies,1,
"Urban Form, Energy and the Environment: A Review of Issues, Evidence and Policy",Urban Studies,1,
The Spatial Mismatch Hypothesis: What Has the Evidence Shown?,Urban Studies,1,
Can Land-Use Policy Really Affect Travel Behavior? A Study of the Link Between Non-Work Travel and Land-Use Characteristics,Urban Studies,1,
Sense of Community and Neighbourhood Form: An Assessment of the Social Doctrine of New Urbanism,Urban Studies,1,17
