Title of reading,Source,,
Congestion Pricing: New Life for an Old Idea?,Access,1,
Will Congestion Pricing Ever Be Adopted?,Access,1,
Travel for the fun of it,Access,1,
Access to Choice,Access,4,
There’s no There There: Or Why Neighborhoods Don’t Really Develop Near Light-Rail Transit Stations,Access,2,
Will Electronic Home Shopping Reduce Travel?,Access,1,
Total Cost of Motor A498Vehicle Use,Access,1,
Simulating Highway and Transit Effects,Access,1,
A New Tool for Land Use and Transportation Planning,Access,2,
Reviving Transit Corridors and Transit Riding,Access,1,
Transit Villages: Tools for Revitalizing Inner Cities,Access,1,
Middle Age Sprawl:  BART and Urban Development,Access,1,
Highway blues: nothing a little accessibility can't cure,Access ,1,
The transportation-land connection still matters,Access ,1,
Can welfare recipients afford to work far from home?,Access 10,1,
Tracking accessibility,Access 11,2,
Travel by Design,Access 12,4,
Middle-age sprawl: BART and urban development,Access 14,3,
Do New Highways Generate Traffic?,Access 7,2,
New highways and conomic growth: rethinking the link,Access 7,2,
The Weakening Transportation-Land Use Connection,"Access, 6.",7,
The Transportation-Land Use Connection Still Matters,"Access, 7",4,44
Atmospheric Chemistry of Tropospheric Ozone Formation: Scientific and Regulatory Implications,Air & Waste,1,1
Environmental and Policy Interventions to Promote Physical Activity,American Journal ofPreventive Medicine,1,1
Is New Urbanism Good For America?,Architecture,1,1
Transportation and land use: key issues in metropolitan planning and smart growth ,Australian Planner,1,1
Under Construction: New Regional Transportation Plan,Bay Area Monitor,1,1
Neo-traditional development: the debate,Berkeley Planning Journal,2,
The Odds on TODs,Berkeley Planning Journal,1,3
The suburban housing market: The effects of city and suburban job growth,Business Review,1,1
Cars and their enemies,Commentary,1,
Cars and Their Enemies,Commentary 104,1,2
"Earth Science, 388-401",Earth Science,1,1
A Note on Spatial Multipliers,ECONOMIC GEOGRAPHY,1,1
Public Investment and Productivity Growth in the Group of Seven,Economic Perspectives,1,
Highway Capacity and Economic Growth,Economic Perspectives,1,2
New directions for understanding transportation and land use.,Environment and Planning,1,
New directions for understanding transportation and land use,Environment and Planning,2,
Economic and Fiscal Impacts of Metropolitan Decentralization:  The Southern California Case,Environment and Planning,1,
Tracking accessibility: emploument and housing opportunities in the San Francisco Bay Area,Environment and Planning A,2,
Hayek and town planning: a note on Hayek's views towards town planning in The Constitution of Liberty,Environment and Planning A,1,
New Directions for Understanding Transportation and Land Use,Environment and Planning A,1,
"Polycentrism, Commuting, and Residential Location in the San Francisco Bay Area",Environment and Planning A,1,
A Theoretical Framework for the Interactions Among Models in the Integrated Transportation and Land-Use Package,Environment and Planning A,1,
Accessibility and Intraurban Travel,Environment and Planning A,1,
The What if? Collaborative Support System,Environment and Planning B: Planning and Design,1,
Transit Joint Development in the USA,Environment and Planning C,1,13
"Characteristics, causes, and effects of sprawl: a literature review",Environment and Urban Issues,1,1
The Asphalt Rebellion,Governing,1,1
Density and the Journey to Work,Growth and Change,1,1
The Portland region: Where city and suburbs talk to each other—and often agree,Housing Policy Debate,1,
Some Realities about Sprawl and Urban Decline,Housing Policy Debate,1,
The spatial mismatch hypothesis: A review of recent studies and their implications for welfare reform,Housing Policy Debate,1,
The Barriers to Using Urban Infill Development to Achieve Smart Growth,Housing Policy Debate,1,
The Spatial Mismatch Hypothesis: A Review of Studies and Their Implications for Welfare Reform,Housing Policy Debate,1,5
