row_id,source_path,package_path,source_file,export_type,sheet_name,rows,cols,nonempty_cells,sha256,size_bytes,notes
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/LUTC_programs.csv,LUTC.xls,xls_sheet_csv_export,LUTC programs,15,8,107,f189388d297d65df565aef33ee089b097b87ac7f3a2342d0aab4e000294784da,1381,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Programs_and_Classes.csv,LUTC.xls,xls_sheet_csv_export,Programs and Classes,176,40,1952,4ae6b5c32f01f56fbefdfc4d8f300e21b06fcf2123f131de36891af3f9eaefd9,19213,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Index.csv,LUTC.xls,xls_sheet_csv_export,Index,19,4,72,0ee0bb21a3ed5ce0e812c1a845c04feaccee7e4edfd3850a5a225ccbba6d9cd4,1201,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/JournalCitations.csv,LUTC.xls,xls_sheet_csv_export,JournalCitations,335,2,410,f8c2c180d75856fb0920bc30ebe3439c8db6aceb3102ba68a8b14bf004180205,9619,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Journals.csv,LUTC.xls,xls_sheet_csv_export,Journals,335,4,1077,886d17ffa7eeb41918912e2c7ad04d5fa7844617ade6f5e27e38ba32ef95ea60,30759,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Readings.csv,LUTC.xls,xls_sheet_csv_export,Readings,765,20,3123,280bbf186fa156306d8b79dd9de016fdc8eeeed746ef7961bee385f7630dc664,100608,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Topics.csv,LUTC.xls,xls_sheet_csv_export,Topics,314,19,611,7743148b7a9e73799e10f6aa6ac4faa5f41627644fe8a7116b9e713bc6d72be7,20806,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/LUTC.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/LUTC/Grouping_of_Topics.csv,LUTC.xls,xls_sheet_csv_export,Grouping of Topics,31,18,315,851febec8a837ec9014f1afe8f29b94461ceb09e71e6d5b6f7e4cb9881268b1c,2015,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/luandtsy.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/luandtsy/Index.csv,luandtsy.xls,xls_sheet_csv_export,Index,18,5,60,3751334130bf50ec5945b3a64af9533e70dd1ba5858d9e6fbba3b47bb222898e,1047,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/luandtsy.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/luandtsy/Readings.csv,luandtsy.xls,xls_sheet_csv_export,Readings,729,17,3617,1de3c68741b6f064c6b785796eb8ca35e167e08210cae0263192f4d925a24762,94963,Readability export generated from the legacy .xls workbook; original .xls is preserved.
paper-2005-01,/Users/dlev2617/Documents/Papers/~05-Published/Journal of Planning Education and Research/JPER-LUTC-Paper/luandtsy.xls,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2005-01-teaching-integrated-land-use-transportation-planning-topics-readings-and-strategies/data/derived_exports/xls_csv/luandtsy/Topics.csv,luandtsy.xls,xls_sheet_csv_export,Topics,274,16,528,529528821c5f767b25bf7c7e05026459cbb03bcabf5349d062f5ada9736d67bd,16129,Readability export generated from the legacy .xls workbook; original .xls is preserved.
